time_clock/4553_real-assets-4+268259_sand-clock-time,What is the object in the image used to represent?,Time,Money,Food,Music,A,time_clock
clothing/4852_eighties-5+283950_sneaker-shoe,What type of object is shown in the image?,Hat,Glove,Shoe,Bag,C,clothing
animal/4687_pets-5+275548_lion,How many stripes are visible on the mane in the image?,Two,Three,Five,Four,D,animal
tool/264_house-things+161590_hammer-nailing-a-nail,What is the color of the object in the image?,Red,Blue,Black,Green,C,tool
land_crafts/5185_ecommerce-20+301723_shipped-truck,What is the object in the image?,Truck,Bicycle,Airplane,Boat,A,land_crafts
furniture/4704_furniture-26+276724_stool,What is the object in the image?,Table,Chair,Stool,Bench,C,furniture
musical_instrument/341_music-and-sound-2+131260_musician-with-accordion,What is the object in the image?,human with accordion,human with bike,human with book,human with guitar,A,musical_instrument
entertainment/1937_sports-5+151507_basketball,What shape is the backboard in the image?,Circle,Square,Triangle,Rectangle,B,entertainment
entertainment/1260_soccer-2+160011_soccer-field,What is the color of the field in the image?,Blue,Red,Green,Yellow,C,entertainment
science/3251_biochemistry+200978_physics,What shape is the outermost part of the object?,Square,Triangle,Circle,Hexagon,C,science
dairy/320_circle-color-food+75606_cheese,What color is the background of the image?,Blue,Green,Yellow,Red,D,dairy
entertainment/4149_miscelaneous+246411_gamepad,What shape are the two large circles in the image?,Squares,Triangles,Hexagons,Circles,D,entertainment
computer/341_music-and-sound-2+39082_computer-headset,How many ear cushions does the object have?,One,Two,Three,Four,B,computer
furniture/4242_restaurant-10+251649_table-dinner,What is the color of the liquid in the glasses on the table?,Red,Blue,black,Yellow,B,furniture
building/2202_city-mega-pack-outlined+55651_building,What is located at the top of the object?,flag,chimney,dish,clock,B,building
computer/3058_office-12+192983_analytics-laptop,What does the image represent?,chart,graph,plot,chart,D,computer
food/448_food-icon-collection+99999_soup,How many steam lines are depicted in the image?,One,Two,Three,Four,B,food
land_crafts/1143_tourism-and-travel+9824_bus,What color is the top section of the object?,Blue,Red,Yellow,Green,C,land_crafts
food/496_restaurant-2+92009_meat,What is the shape of the plate in the image?,Circular,Square,Rectangular,Trapezoidal,D,food
accessory/4710_man-accessories-3+277047_belt,What is the object in the image?,belt,key,pen,battery,A,accessory
building/1321_city-set+44782_city-tower-building-surrounded-by-trees,How many trees are depicted in the image?,One,Two,Three,Four,D,building
musical_instrument/4557_music-icons-6+268621_music-instruments-drums,How many legs does the object have?,2,3,4,5,C,musical_instrument
tool/2329_toolbox+85783_working-shovel,What is the shape of the handle at the top of the object?,Trapezoid,Circular,Rectangular,Hexagonal,A,tool
human/830_management-pictograms+134055_male-user-manager,What does the whole object represent?,person,house,tree,car,A,human
dairy/1295_summer-holidays-collection+156126_ice-cream,What shape is the base of the object in the image?,Circle,Square,Hexagon,Triangle,D,dairy
human/2215_market-and-store+166704_two-persons-shopping,What are the figures in the image holding?,Bags,Books,Umbrellas,Flowers,A,human
dairy/4469_spring-6+263270_milkshake,What shape is prominently featured at the bottom of the object?,Square,Triangle,Trapezoid,Hexagon,C,dairy
book/554_school-elements-5+144375_open-book,What is the primary color of the book cover?,Blue,Red,Green,Yellow,A,book
accessory/855_shopping-bags+118945_handbag,What is the color of the object?,Red,Blue,Green,Black,D,accessory
human/1925_family+34743_jumping-man,What is the position of the left arm of the object?,up,down,sideways,elbow,C,human
building/2577_city-and-enviroment+69331_building,What type of building does the object in the image resemble?,stadium,skyscraper,hotel,hospital,C,building
computer/819_office-supplies+93075_computer,What is the object in the image?,Television,keyboard,Microwave,Printer,B,computer
science/4164_science-15+246870_newtons-cradle-physics,What is the color of the balls in the image?,Red,Green,Blue,Yellow,C,science
computer/3058_office-12+192983_analytics-laptop,What is the direction of the arrow in the image?,Upward,Downward,Leftward,Rightward,A,computer
entertainment/214_sporting+80334_american-football-helmet,What is the object primarily used for?,Cooking,Writing,Protection,Gardening,C,entertainment
clothing/675_sporting-icons+118187_football-shoes,How many white stripes are visible on the object?,One,Two,Three,Four,C,clothing
time_clock/548_logistics-delivery+165658_logistics-delivery-truck-and-clock,How many wheels are visible on the object in the image?,One,Two,Three,Four,B,time_clock
human/3625_wellness-and-spa+220220_woman-healthcare-and-medical,What is the color of the background in the image?,Black,White,Blue,Gray,D,human
human/3580_delivery-6+217998_delivery-man-driver,What does the image represent?,doctor,teacher,officer,firefighter,C,human
tool/103_designer-set+151_pen,What shape is the object most similar to?,Circle,Square,Triangle,Rectangle,C,tool
building/3363_architecture-construction+207359_building-office,What type of structure is depicted in the image?,house,skyscraper,stadium,factory,A,building
beverage/3850_birthday-3+230089_wine-glass-wine,What is the shape of the stem of the object?,Circle,Trapezoid,Line,Rectangle,D,beverage
land_crafts/4620_transport-24+271415_ship-boat,How many windows are visible on the object?,1,2,3,4,C,land_crafts
entertainment/85_toys-3+138715_skipping-rope,What is the color of the handles of the object?,Red,Blue,Green,Yellow,B,entertainment
animal/57_kitchen-elements+2911_lobster,What is the shape of the tail of the object in the image?,Square,Circular,Triangular,Rectangular,B,animal
furniture/4426_home-stuff-11+261226_studying-table,How many legs does the object have?,2,3,4,5,A,furniture
time_clock/1677_essential-compilation+38913_alarm-clock,What is the object in the image?,compass,clock,camera,fan,B,time_clock
human/936_professions+7321_teacher,What shape is the object the person is pointing at?,Circle,Triangle,Square,Rectangle,D,human
book/125_communication-and-media+83734_magazine,What is the shape at the bottom of the object?,Square,Triangle,Circle,Arc,D,book
aerial_crafts/4931_medical-and-health+287858_helicopter-aircraft,What shape is prominently featured in the tail of the object?,Square,Circle,Triangle,Rectangle,C,aerial_crafts
building/1232_landscapes-6+81460_building,How many windows are there on the second floor from the top?,2,3,4,5,B,building
clothing/1536_american-football+130462_american-football-black-shoe,How many protrusions are visible at the bottom of the object?,2,3,4,5,C,clothing
human/1839_linear-justice-elements+158214_policeman,What shape is the hat in the image?,Square,Triangle,Hexagon,Pentagon,D,human
entertainment/825_school-icon-set-3+65840_basketball,What shape is the object?,Square,Triangle,Circle,Rectangle,C,entertainment
food/1460_food-and-restaurant-elements+68907_pizza,What type of object does the image represent?,Pizza,Plug,Flower,Clock,A,food
furniture/3006_love-and-romance-2+190159_bed-hotel,What shape is above the bed?,Circle,Square,Heart,Triangle,C,furniture
building/4657_cityscape-3+273616_building-architecture-and-city,What shape is the roof of the object on the right side?,Triangle,Square,Circle,Rectangle,A,building
clothing/498_babycare-pregnancy+1698_socks,What shape is the background of the image?,Square,Circle,Triangle,Rectangle,B,clothing
land_crafts/987_hotel-3+7295_taxi,What shape are the headlights of the object?,Rectangular,Triangular,Circular,Hexagonal,A,land_crafts
musical_instrument/4047_musical-instruments-9+240575_resonator-guitar,What is the primary color of the body of the object?,Red,Blue,Orange,Green,C,musical_instrument
land_crafts/4619_transport-23+271344_motorcycle-bike,What type of object is depicted in the image?,Car,Bicycle,Scooter,Airplane,C,land_crafts
building/1148_logistic-delivery+90139_warehouse,What shape is the roof of the object?,Triangle,Circle,Square,Rectangle,A,building
tool/1612_camping-element-collection+65898_shovel,What shape is the blade of the object?,Circular,Square,Rectangular,Oval,D,tool
building/2424_business-and-finance+86853_bank-building,What is the shape of the base of the object?,Circular,Triangular,Rectangular,Hexagonal,C,building
building/1902_fire-department-collection+172525_burning-building,What shape are the windows on the building?,Circular,Triangular,Square,Hexagonal,C,building
land_crafts/481_transportation-6+91027_train,What is the object in the image?,Car,Airplane,Train,Boat,C,land_crafts
accessory/3006_love-and-romance-2+190114_engagement-ring-jewelry,What is the background color of the image?,Red,Green,Blue,Yellow,C,accessory
computer/4319_interaction-3+255961_server-add,What shape is the button in the image?,Square,Circle,Triangle,Hexagon,B,computer
tool/3288_construction-8+203138_hammer,How many sections does the object have?,One,Two,Three,Four,C,tool
land_crafts/4604_earth-day-2+270538_bicycle,How many wheels does the object have?,One,Two,Three,Four,B,land_crafts
entertainment/5056_eighties-8+296164_game-console,What type of device is depicted in the image?,Calculator,Phone,Control,Console,D,entertainment
building/3161_landmarks-7+197095_empire-state-building,What is the shape of the two objects at the bottom left and right of the image?,Circle,Triangle,Hexagon,Rectangle,D,building
musical_instrument/2356_color-brazil-elements+173328_drum,What type of object is depicted in the image?,Drum,Hat,Barrel,Can,A,musical_instrument
dairy/1429_summertime-vacations+90271_ice-cream,How many scoops of ice cream are in the bowl?,One,Two,Three,Four,C,dairy
building/4526_real-estate-26+266493_building-town,How many windows are visible on the object?,8,10,14,12,D,building
animal/3781_marine-2+227428_squid,How many tentacles does the object have?,Four,Five,Six,Eight,C,animal
time_clock/889_linear-detailed-high-school-elements+66028_clock,How many concentric circles are there around the object?,3,2,4,5,A,time_clock
fruit/468_food-6+137808_carrot,What shape is the object closest to?,Circle,Square,Triangle,Oval,D,fruit
beverage/4560_saint-patrick-day-12+268861_beer-mug-beer,What is the object in the image?,cup,mug,glass,bottle,B,beverage
furniture/3372_furniture-16+207959_desk,How many legs does the object in the image have?,Two,Four,Three,One,A,furniture
human/4484_india-6+264235_man-india,What does the whole object in the image represent?,tree,house,person,car,C,human
land_crafts/4619_transport-23+271338_cab-taxi,What type of vehicle is depicted in the image?,Bicycle,Airplane,Car,Boat,C,land_crafts
musical_instrument/545_music-entertainment+23059_flute,How many pipes are visible in the object?,5,7,9,11,D,musical_instrument
accessory/4684_man-accessories-2+275394_belt,What shape is the central part of the object?,Square,Circle,Triangle,Hexagon,B,accessory
entertainment/106_sport+34102_baseball,What is the primary color of the bat in the image?,Red,Blue,Beige,Green,C,entertainment
entertainment/2790_casino-5+177214_domino-game,How many dots are on the top half of the object?,1,2,3,4,C,entertainment
accessory/3434_hipster-style-2+210943_accessory,What is the color of the band around the object?,Black,White,Green,Gray,D,accessory
land_crafts/59_transport-set-2+56898_scooter,How many circles are present in the image?,2,1,3,4,A,land_crafts
beverage/1121_my-coffee+8096_coffee-cup,What is the object in the image primarily used for?,Writing,Cooking,Drinking,Sleeping,C,beverage
human/2595_health-set+153571_man-with-bandaged-leg-standing-with-a-cane,What shape is the head of the object?,Square,Triangle,Circle,Hexagon,C,human
building/2809_monuments-4+178229_notre-dame-building,What shape is located in the center of the object?,Square,Triangle,Circle,Hexagon,C,building
time_clock/1154_back-to-school-2+69603_alarm-clock,What is the object in the image?,Television,Microwave,clock,monitor,C,time_clock
land_crafts/62_transport-collection-2+53243_bus,What type of vehicle is depicted in the image?,Car,Bus,Bicycle,Train,B,land_crafts
accessory/4537_italy+267159_handbag,What shape is the handle of the object?,Circular,Rectangular,Triangular,Semi-circular,D,accessory
time_clock/1134_office-4+77514_clock,How many visible small dots are there inside the circle?,4,6,11,12,C,time_clock
human/4618_hairstyles+271315_woman-hair-beauty-salon,What is the primary color of the hair in the image?,Black,Brown,Blonde,Red,B,human
human/1784_dog-training-pictograms+102312_dog-training,What is the person in the image holding?,book,leash,ball,cup,B,human
food/4546_baby-22+267633_lollipop-candy,What is the shape of the handle of the object?,Circular,Triangular,Rectangular,Hexagonal,C,food
musical_instrument/786_music-and-sound-1+89972_violin-bow-with-string,What is the object in the image commonly used for?,Writing,Music,Measuring,Cooking,B,musical_instrument
tool/4863_crafting-11+284471_eraser,What shape is the object primarily composed of?,Rectangle,Triangle,Circle,Hexagon,A,tool
human/311_human-pictos+1982_man-with-giftbox,What is the object in the image?,presentation,gift,book,piano,B,human
furniture/3079_camping-equipment+193735_chair,How many legs does the object have?,2,3,4,5,A,furniture
human/107_emoticon-set+132728_manly,What is the object in the image?,tree,house,car,face,D,human
human/3580_delivery-6+217998_delivery-man-driver,What shape is the hat in the image?,Square,Circle,Rectangle,Triangle,C,human
building/2752_business-and-office-elements-2+104397_building,What shape are the windows in the buildings?,Circular,Triangular,Hexagonal,Rectangular,D,building
tool/3_mathbert-mathematics+12803_pencil-and-ruler,What shape is the tip of the object on the left?,Square,Circle,Hexagon,Triangle,D,tool
entertainment/1478_technology-icon-collection+140738_game-console,What shape is the screen of the object?,Circle,Triangle,Square,Hexagon,C,entertainment
science/3880_chemistry-7+231578_flask-chemistry,What is the primary color of the liquid inside the object?,Red,Green,Yellow,Blue,D,science
building/1232_landscapes-6+81460_building,How many dots are on the object on the top of the building?,1,2,3,4,D,building
time_clock/53_ui-interface+14571_clock,What is the object in the image?,Compass,Clock,Thermometer,Barometer,B,time_clock
food/79_food-linear-color+91796_soup,How many steam lines are coming out of the bowl?,One,Two,Three,Four,C,food
dairy/4257_ice-cream-3+252312_ice-cream-rabbit,What is the object in the image?,ice cream,key,tree,house,A,dairy
dairy/961_summer-holidays-color+7600_ice-cream,What type of object is depicted in the image?,vase,lamp,trophy,ice cream,D,dairy
tool/4860_crafting-8+284367_hammer,What is the primary color of the handle of the object?,Red,Green,Blue,Yellow,A,tool
beverage/3537_food-and-restaurant-2+215586_kettle-tea,What is the feature on the top of the object?,Handle,Spout,Button,Lid,A,beverage
animal/3890_animals-22+232008_crab,How many eyes does the object have?,One,Two,Three,Four,B,animal
dairy/4774_hippies+280278_ice-cream,What is the pattern on the rightmost scoop of ice cream?,Stripes,Dots,Stars,Plain,B,dairy
human/1395_filled-management-elements+92785_manager,What is the figure on the left side of the image wearing?,Hat,Tie,Glasses,Scarf,B,human
aerial_crafts/4271_transport-17+252910_helicopter-aircraft,What shape is the window on the object?,Circle,Square,Rectangle,Diamond,D,aerial_crafts
time_clock/4001_shipping-delivery-6+236723_clock,What is the object in the image?,Compass,Clock,Thermometer,Barometer,B,time_clock
entertainment/377_humans-resources+157569_male-worker-behind-a-desk,How many circles are present in the image?,1,2,3,4,C,entertainment
entertainment/4516_home-stuff-12+265960_game-console-gamepad,What is the object in the image?,Television,Computer,controller,Calculator,C,entertainment
animal/4056_circus-17+241599_lion,What animal is represented by the object in the image?,Elephant,Tiger,Bear,Lion,D,animal
aerial_crafts/450_solid-war-elements+136119_airplane,What shape is the window on the object?,Square,Circle,Triangle,Rectangle,B,aerial_crafts
aerial_crafts/252_summer-holidays-set+175335_plane-ticket,What is the color of the background in the image?,White,Blue,Green,Black,D,aerial_crafts
beverage/4008_restaurant-7+237032_tea-cup-coffee,What is the primary geometric shape of the object?,Rectangle,Circle,Triangle,Trapezoid,D,beverage
dairy/4257_ice-cream-3+252312_ice-cream-rabbit,What shape are the two protrusions at the top of the object?,Triangular,Rectangular,Circular,Arch,D,dairy
furniture/460_household-and-furniture-elements+132675_rocking-chair,Which part of the object in the image allows it to rock back and forth?,Legs,Armrests,Rockers,Backrest,C,furniture
time_clock/3070_ui-icons-3+193448_alarm-clock-time-and-date,What is the position of the small rectangle on top of the object?,Bottom,Left,Right,Top,D,time_clock
human/4682_avatar-2+275255_woman,What is the color of the person's shirt in the image?,Red,White,Blue,Yellow,B,human
land_crafts/5081_environment-6+297113_bicycle-bike,What shape is the frame of the object?,Circular,Triangular,Rectangular,Hexagonal,B,land_crafts
aerial_crafts/3063_weapons-2+193181_fighter-aircraft,What shape is the tail of the object?,Circular,Triangular,Rectangular,Hexagonal,B,aerial_crafts
book/2286_airport-symbols+106656_magazines,What is the object in the image?,Window,Door,Book,Mirror,C,book
book/2843_essentials-2+180861_bookmark-shapes,What shape is the bottom part of the object?,Square,Triangle,Circle,Rectangle,B,book
computer/3725_electronics-12+225039_computer-electronics,What is the object in the image?,Television,Computer,Microwave,Printer,B,computer
food/307_food-set-2+89095_soup,What is the object in the image?,cake,soup,bread,cookies,B,food
entertainment/2127_sports-10+170577_football,What is the object in the image?,Basketball,Volleyball,ball,ball,C,entertainment
science/3064_lab-elements+193238_flask-chemistry,How many legs does the stand have?,2,3,4,5,B,science
science/3019_modern-education+190781_flask-laboratory,What is the object in the image primarily used for?,Cooking,experiments,Gardening,Painting,B,science
animal/265_horses+20690_horse-head,What feature is prominent on the top of the object in the image?,Mane,Ears,Horn,Wings,A,animal
science/1689_school-icon-set+124879_biology,What is the overall shape formed by the three hexagons?,Triangle,Square,Line,Hexagon,A,science
beverage/2875_coffee-shop-7+184473_chocolate-coffee,What shape is the base of the object?,Trapezoid,Circle,Triangle,Hexagon,A,beverage
aerial_crafts/4879_universe-18+285224_spacecraft-rocket,What color is the flame at the bottom of the object?,Red,Blue,Green,Orange,D,aerial_crafts
entertainment/37_play-football+70388_soccer-player,What is the shape of the object on the top of the image?,Circle,Square,Crown,Triangle,C,entertainment
musical_instrument/1138_music-elements+9280_harmonica,What shape are the two white elements on the left and right sides of the object?,Circles,Squares,Triangles,Hexagons,A,musical_instrument
land_crafts/4775_hippies-2+280328_bicycle,What shape are the wheels of the object?,Square,Triangle,Circle,Hexagon,C,land_crafts
food/4528_gastronomy-4+266614_baguette-bread,What does the object resemble?,pencil,bread,leaf,fish,B,food
land_crafts/1791_transport+100280_bicycle-symbol,What shape is the front wheel of the object?,Square,Triangle,Rectangle,Circle,D,land_crafts
human/655_business-collection+164258_businesswoman,What is the color of the silhouette in the image?,Red,Blue,Black,Green,C,human
accessory/5194_woman-accessories-3+302264_handbag,What shape is the object in the image?,Circular,Rectangular,Triangular,Bag-shaped,D,accessory
fruit/5305_food-and-drinks-infographic-icons+307575_banana-fruit-peel,What is the primary color of the object in the image?,Red,Blue,Green,Black,D,fruit
clothing/4726_woman-clothes+278110_coat-jacket,What is the primary color of the object?,Red,Green,Yellow,Blue,D,clothing
land_crafts/4256_sports-33+252276_bike-bicycle,What is the primary color of the body of the object?,Red,Green,Blue,Yellow,A,land_crafts
human/2014_humanitarian+23383_man-child-and-balloons,How many people are in the image?,One,Two,Three,Four,B,human
human/3479_university-pictograms+212749_studying-teacher,What is the person on the right holding?,book,pen,paper,phone,C,human
dairy/2804_back-to-school-11+177948_milk-drink,What is the object in the image?,mailbox,drawer,bin,milk box,D,dairy
dairy/325_food-color-flat+43132_ice-cream,What shape is the bottom part of the object?,Square,Circle,Rectangle,Triangle,D,dairy
aerial_crafts/4685_transport-26+275454_helicopter-aircraft,What is the object in the image?,Helicopter,Airplane,Car,Boat,A,aerial_crafts
time_clock/5141_spa-15+299910_stopclock,How many buttoms does the object have?,1,2,3,4,B,time_clock
accessory/4011_mechanic-elements-10+237153_seat-belt,What shape is the object primarily composed of?,Circle,Triangle,Hexagon,Square,D,accessory
animal/1754_fishing+129776_lobster,What is the color of the object in the image?,Red,Blue,Green,Black,D,animal
science/3812_education-18+228246_physics-nuclear,What does the image represent?,molecule,system,atom,planet,C,science
accessory/5194_woman-accessories-3+302264_handbag,What is the object in the image primarily used for?,items,Cooking,Writing,music,A,accessory
accessory/4980_woman-accessories+291722_hand-bag-handbag,How many horizontal lines are there in the middle section of the object?,2,3,4,5,C,accessory
furniture/4330_office-25+256533_desk-chair-chair,What is the shape of the armrests of the object?,Circular,Rectangular,L-shaped,T-shaped,D,furniture
science/2827_science-10+179585_test-tubes-science,What is the color of the top part of the test tubes?,Blue,Green,Red,Yellow,A,science
musical_instrument/4048_musical-instruments-10+240644_flute-music-and-multimedia,What type of object is depicted in the image?,ruler,flute,light,control,B,musical_instrument
tool/4307_business-27+255182_calculator,What color is the border of the object in the image?,Red,Blue,Green,Yellow,D,tool
aerial_crafts/4198_war-4+248288_jet,What type of object is shown in the image?,Car,Boat,Jet,Bicycle,C,aerial_crafts
aerial_crafts/1578_airplanes+58027_airplane-from-frontal-view,What type of object is shown in the image?,Car,Boat,Airplane,Train,C,aerial_crafts
fruit/3777_gardening-10+227189_orange,What shape is the object?,Square,Circle,Triangle,Rectangle,B,fruit
book/2639_education-1-7+78542_bookshelf,How many tall rectangular shapes are present in the image?,1,2,3,4,D,book
beverage/511_restaurant-elements-2+7937_coffee-cup,What shape is prominently featured in the middle of the object?,Square,Triangle,Circle,Hexagon,C,beverage
aerial_crafts/3051_travel-11+192380_helicopter-aircraft,What type of object is depicted in the image?,Airplane,Car,Helicopter,Boat,C,aerial_crafts
time_clock/350_ios7-premium-fill-2+62311_round-clock,How many lines are inside the circle?,One,Two,Three,Four,B,time_clock
animal/2331_japan-2+113246_squid,What type of creature does the object resemble?,Squid,Bird,Fish,Mammal,A,animal
science/4693_space-and-science-3+276016_flask-chemistry,What is the color of the drop below the container?,Red,Blue,Yellow,Green,C,science
musical_instrument/2260_musicon+83010_inclined-clarinet,What is the primary orientation of the object?,Horizontal,Vertical,Diagonal,Curved,C,musical_instrument
tool/2453_school-elements-2+17616_sharpener,What is the primary color of the object?,Blue,Green,Yellow,Red,D,tool
time_clock/236_pointed-icons+15527_clock-circular-black-tool-shape,How many hands does the object has?,2,3,4,5,A,time_clock
clothing/4726_woman-clothes+278110_coat-jacket,How many pockets are visible on the object?,One,Two,Three,Four,B,clothing
musical_instrument/4555_music-icons-4+268426_music-instruments-drum,What is the primary color of the object?,Blue,Green,Brown,Red,C,musical_instrument
entertainment/211_sport-icons+127927_football-champion-cup,What is the shape of the base of the object?,Square,Circle,Triangle,Hexagon,A,entertainment
fruit/3523_ecology-and-nature-6+214933_vegetables-vegan,How many objects are in the image?,One,Two,Three,Four,B,fruit
animal/1602_food-4+128994_shrimp,What geometric feature is present at the top left of the object?,triangle,square,circle,rectangle,A,animal
furniture/3693_employees-organization-3+223936_desk-lamp-furniture-and-household,How many joints does the arm of the object have?,One,Two,Three,Four,B,furniture
entertainment/4149_miscelaneous+246411_gamepad,What is the shape of the buttons on the left side of the object?,Cross,Circle,Triangle,Square,A,entertainment
human/3479_university-pictograms+212749_studying-teacher,How many people are depicted in the image?,One,Two,Three,Four,B,human
human/33_hand-drawn-education+174781_student-reading-a-book-hand-drawn-person,What is the person in the image holding?,book,ball,cup,phone,A,human
musical_instrument/1138_music-elements+9280_harmonica,How many dark squares are there on the bottom part of the object?,4,5,6,7,C,musical_instrument
science/2799_back-to-school-9+177744_saturn-science,How many smaller circles are inside the large circle?,1,2,3,4,B,science
animal/1233_animal-set+81627_tiger,How many stripes are visible on the tail of the object?,Three,Two,Four,Five,A,animal
clothing/1833_sport-compilation+78500_shoe,What shape is present in the middle left of the object?,Square,Triangle,Circle,Star,C,clothing
musical_instrument/1199_musician-human-pictograms+7451_electric-guitar,What is the figure in the image doing?,Running,Sitting,Playing,Jumping,C,musical_instrument
computer/929_office-elements+60879_server,What shape is the object at the bottom center of the image?,Circle,Square,Triangle,Hexagon,A,computer
musical_instrument/2969_musical-instruments-4+188552_accordion,What shape is repeated along the top and bottom edges of the central part of the object?,Triangles,Squares,Circles,Hexagons,A,musical_instrument
human/1098_users-2+166132_young-man-with-goatbeard,What is the shape of the object in the image?,Square,Circle,Triangle,Hexagon,B,human
computer/4050_love-and-romance-7+240945_laptop-love-and-romance,What shape is located inside the screen of the object?,Circle,Square,Star,Heart,D,computer
food/1534_birthday-party-7+76794_pizza,What is the primary color of the outer edge of the object?,Red,Yellow,Black,Green,B,food
accessory/4683_man-accessories+275325_belt,How many rectangular shapes are present in the object?,1,2,3,4,B,accessory
science/1689_school-icon-set+124879_biology,What is the orientation of the line inside the top hexagon?,Horizontal,Vertical,Diagonal,Curved,C,science
food/3177_holidays-14+197563_candy-cane,What is the object in the image?,note,cane,key,letter,B,food
human/4618_hairstyles+271241_woman-hair-hairstyle,What is the color of the hair in the image?,Black,Brown,Red,Blonde,C,human
tool/2329_toolbox+162074_gardening-rake,How many prongs does the object in the image have?,9,7,11,13,A,tool
animal/514_food-7+23016_crab,What is the object in the image?,Spider,Crab,Beetle,Fish,B,animal
fruit/3780_food-17+227276_potato,What shape best describes the object?,Circle,Square,Oval,Triangle,C,fruit
entertainment/2571_olympic-games+19295_snowboard-race,What is the person in the image doing?,Running,Swimming,Skiing,Cycling,C,entertainment
food/79_food-linear-color+91796_soup,What is the shape of the object that the bowl is placed on?,Square,Circle,Rectangle,Semi-circle,C,food
tool/2453_school-elements-2+17616_sharpener,What shape is the central part of the object?,Circle,Square,Triangle,Rectangle,D,tool
animal/2093_animals-4+154286_lion,What animal does the object represent?,Lion,Elephant,Tiger,Bear,A,animal
animal/4952_animals-30+289009_elephant,What is the primary color of the object?,Blue,Green,Red,Gray,D,animal
computer/669_lifestyle-icons+53757_computer,How many main components does the object have?,Two,One,Three,Four,A,computer
animal/3024_animals-16+191089_elephant,What animal does the object resemble?,Dog,Cat,Elephant,Lion,C,animal
dairy/1613_ice-cream-icon-collection+64815_ice-cream,What is the primary color of the top part of the object?,Red,Blue,Brown,Green,C,dairy
dairy/5110_sweets-and-candies+298624_ice-cream,What is the object in the image?,ice cream,slice,cone,tree,A,dairy
book/4126_valentines-day-7+245217_book,What type of object is depicted in the image?,Book,Box,Card,Envelope,A,book
animal/4270_animals-26+252864_lion,What color is the head of the object?,Blue,Green,Red,Yellow,C,animal
book/5105_research-science+298470_book,What shape is the object in the image?,Circle,Triangle,Square,Rectangle,D,book
human/1395_filled-management-elements+92785_manager,What shape is the head of the figure in the image?,Square,Triangle,Circle,Hexagon,C,human
land_crafts/1791_transport+100280_bicycle-symbol,What is the object in the image?,Car,Bicycle,Motorcycle,Scooter,B,land_crafts
animal/80_sea-life-linear+38725_squid,What shape is prominently featured in the image?,Circle,Square,Triangle,Hexagon,A,animal
building/2569_poi-buildings+19230_two-buildings,How many windows are there in each house?,2,3,4,5,C,building
entertainment/5306_activity-infographic-icons+308085_ski-jumping-person-fly-sport,How many limbs are visible in the figure?,One,Two,Three,Four,B,entertainment
tool/841_kitchen+5983_kitchen-hammer-silhouette,What is the shape of the handle of the object?,Circular,Elongated,Triangular,Hexagonal,B,tool
food/496_restaurant-2+92009_meat,How many pieces of food are on the plate besides the main object?,One,Two,Three,Four,C,food
furniture/992_real-estate-and-furniture+53472_sofa,What type of furniture is depicted in the image?,Table,Chair,Bed,Sofa,D,furniture
entertainment/4929_daily-routine-objects-actions-3+287782_gamepad-gamer,How many buttons are on the right side of the object?,2,3,5,4,D,entertainment
